CVE-2021-44906 - CRITICAL -  minimist: prototype pollution
CVE-2022-0686 - CRITICAL -  npm-url-parse: Authorization bypass through user-controlled key
CVE-2022-24407 - HIGH -  cyrus-sasl: failure to properly escape SQL input allows an attacker to execute arbitrary SQL commands
CVE-2022-25235 - HIGH -  expat: Malformed 2- and 3-byte UTF-8 sequences can lead to arbitrary code execution
CVE-2022-25236 - HIGH -  expat: Namespace-separator characters in "xmlns[:prefix]" attribute values can lead to arbitrary code execution
CVE-2022-0155 - HIGH -  follow-redirects: Exposure of Private Personal Information to an Unauthorized Actor
CVE-2022-0235 - HIGH -  node-fetch: exposure of sensitive information to an unauthorized actor
CVE-2022-24772 - HIGH -  node-forge: Signature verification failing to check tailing garbage bytes can lead to signature forgery
CVE-2022-24771 - HIGH -  node-forge: Signature verification leniency in checking `digestAlgorithm` structure can lead to signature forgery
CVE-2021-3749 - HIGH -  nodejs-axios: Regular expression denial of service in trim function
CVE-2021-23337 - HIGH -  nodejs-lodash: command injection via template
CVE-2020-8203 - HIGH -  nodejs-lodash: prototype pollution in zipObjectDeep function
CVE-2022-0778 - HIGH -  openssl: Infinite loop in BN_mod_sqrt() reachable when parsing certificates
CVE-2019-18276 - LOW -  bash: when effective UID is not equal to its real UID the saved UID is not dropped
CVE-2016-2781 - LOW -  coreutils: Non-privileged session can escape to the parent session in chroot
CVE-2021-45960 - LOW -  expat: Large number of prefixed XML attributes on a single tag can crash libexpat
CVE-2021-35942 - LOW -  glibc: Arbitrary read in wordexp()
CVE-2021-3326 - LOW -  glibc: Assertion failure in ISO-2022-JP-3 gconv module related to combining characters
CVE-2022-23219 - LOW -  glibc: Stack-based buffer overflow in sunrpc clnt_create via a long pathname
CVE-2022-23218 - LOW -  glibc: Stack-based buffer overflow in svcunix_create via long pathnames
CVE-2021-27645 - LOW -  glibc: Use-after-free in addgetnetgrentX function in netgroupcache.c
CVE-2020-29562 - LOW -  glibc: assertion failure in iconv when converting invalid UCS4
CVE-2019-25013 - LOW -  glibc: buffer over-read in iconv when processing invalid multi-byte input sequences in the EUC-KR encoding
CVE-2016-10228 - LOW -  glibc: iconv program can hang when invoked with the -c option
CVE-2020-27618 - LOW -  glibc: iconv when processing invalid multi-byte input sequences fails to advance the input state, which could result in an infinite loop
CVE-2020-6096 - LOW -  glibc: signed comparison vulnerability in the ARMv7 memcpy function
CVE-2021-43618 - LOW -  gmp: Integer overflow and resultant buffer overflow via crafted input
CVE-2021-36087 - LOW -  libsepol: heap-based buffer overflow in ebitmap_match_any()
CVE-2021-36084 - LOW -  libsepol: use-after-free in __cil_verify_classperms()
CVE-2021-36085 - LOW -  libsepol: use-after-free in __cil_verify_classperms()
CVE-2021-36086 - LOW -  libsepol: use-after-free in cil_reset_classpermission()
CVE-2020-25648 - LOW -  nss: TLS 1.3 CCS flood remote DoS Attack
CVE-2020-9849 - LOW -  null
CVE-2020-9991 - LOW -  null
CVE-2019-20838 - LOW -  pcre: Buffer over-read in JIT when UTF is disabled and \X or \R has fixed quantifier greater than 1
CVE-2020-14155 - LOW -  pcre: Integer overflow when parsing callout numeric arguments
CVE-2017-11164 - LOW -  pcre: OP_KETRMAX feature in the match function in pcre_exec.c
CVE-2021-3671 - LOW -  samba: Null pointer dereference on missing sname in TGS-REQ
CVE-2013-4235 - LOW -  shadow-utils: TOCTOU race conditions by copying and removing directory trees
CVE-2021-20193 - LOW -  tar: Memory leak in read_header() in list.c
CVE-2022-22822 - MEDIUM -  expat: Integer overflow in addBinding in xmlparse.c
CVE-2022-22823 - MEDIUM -  expat: Integer overflow in build_model in xmlparse.c
CVE-2022-22824 - MEDIUM -  expat: Integer overflow in defineAttribute in xmlparse.c
CVE-2021-46143 - MEDIUM -  expat: Integer overflow in doProlog in xmlparse.c
CVE-2022-23852 - MEDIUM -  expat: Integer overflow in function XML_GetBuffer
CVE-2022-22825 - MEDIUM -  expat: Integer overflow in lookup in xmlparse.c
CVE-2022-22826 - MEDIUM -  expat: Integer overflow in nextScaffoldPart in xmlparse.c
CVE-2022-22827 - MEDIUM -  expat: Integer overflow in storeAtts in xmlparse.c
CVE-2022-25315 - MEDIUM -  expat: Integer overflow in storeRawNames()
CVE-2022-25314 - MEDIUM -  expat: integer overflow in copyString()
CVE-2022-23990 - MEDIUM -  expat: integer overflow in the doProlog function
CVE-2022-25313 - MEDIUM -  expat: stack exhaustion in doctype parsing
CVE-2021-37750 - MEDIUM -  krb5: NULL pointer dereference in process_tgs_req() in kdc/do_tgs_req.c via a FAST inner body that lacks server field
CVE-2021-36222 - MEDIUM -  krb5: Sending a request containing PA-ENCRYPTED-CHALLENGE padata element without using FAST could result in NULL dereference in KDC which leads to DoS
CVE-2022-24773 - MEDIUM -  node-forge: Signature verification leniency in checking `DigestInfo` structure
CVE-2020-28500 - MEDIUM -  nodejs-lodash: ReDoS via the toNumber, trim and trimEnd functions
CVE-2022-0512 - MEDIUM -  nodejs-url-parse: authorization bypass through user-controlled key
CVE-2022-0639 - MEDIUM -  npm-url-parse: Authorization Bypass Through User-Controlled Key
CVE-2022-0691 - MEDIUM -  npm-url-parse: authorization bypass through user-controlled key
CVE-2020-9794 - MEDIUM -  null
CVE-2022-29155 - MEDIUM -  openldap: OpenLDAP SQL injection
CVE-2020-16156 - MEDIUM -  perl-CPAN: Bypass of verification of signatures in CHECKSUMS files
CVE-2018-25032 - MEDIUM -  zlib: A flaw found in zlib when compressing (not decompressing) certain inputs
